╒══════════════════════════════════════════════════════════════════════════════╕
│                                                list submarines with missiles │
╞══════════════════════════════════════════════════════════════════════════════╡
│ sub | missile | __tof__ | ____________.____target___.____________ | checksum │
│ ----+---------+---------+-------------+-------------+-------------+--------- │
│   1 |       1 | 1080.00 |  3965173.80 |    -8172.61 |  4986679.35 | ill-buzz │
│   1 |       2 | 1080.00 |  3877218.23 |  -128524.04 |  5053741.33 | tan-city │
│   1 |       3 | 1080.00 |  3788140.78 |  -148481.80 |  5120310.89 | any-fang │
│   1 |       4 | 1080.00 |  3793400.39 |  -197697.20 |  5114750.27 | six-crop │
│   1 |       5 | 1080.00 |  3761259.92 |  -101682.56 |  5141228.01 | few-darn │
│   1 |       6 | 1200.00 |  3565283.98 |  -265059.37 |  5273341.89 | its-folk │
│   1 |       7 | 1200.00 |  3561474.41 |  -199048.12 |  5278818.14 | wry-cook │
│   1 |       8 | 1000.00 |  3798982.34 |   -97495.01 |  5113498.70 | few-area │
│   1 |       9 | 1080.00 |  3780277.58 |  -415086.43 |  5111442.62 | bad-dime │
│   1 |      10 | 1100.00 |  3904518.71 |   292813.87 |  5025796.92 | day-acid │
│   1 |      11 |  500.00 |  4517609.64 |   -45797.26 |  4492076.00 | bad-dory │
│   1 |      12 | 1300.00 |  3931251.08 |   515136.93 |  4986936.93 | her-chin │
│   1 |      13 |  900.00 |  4840420.30 |  -313337.46 |  4130592.21 | the-clue │
│   1 |      14 | 1080.00 |  3978633.52 |   306311.28 |  4966516.86 | sly-chug │
│   1 |      15 | 1500.00 |  3771037.60 |   898732.45 |  5055808.19 | one-epee │
│   1 |      16 | 1200.00 |  4629467.70 |  1026020.23 |  4254991.45 | top-game │
│ ----+---------+---------+-------------+-------------+-------------+--------- │
│   2 |       1 | 2000.00 |  2871529.36 |  1335712.45 |  5528094.82 | fat-blow │
│   2 |       2 | 1400.00 |  3916904.74 |   305684.71 |  5015381.85 | coy-drug │
│   2 |       3 | 1100.00 |  3506335.17 |   781724.52 |  5261574.05 | new-bore │
│   2 |       4 | 1300.00 |  4187571.65 |   171778.44 |  4798372.31 | top-draw │
│   2 |       5 | 2000.00 |  4073672.03 |  1196123.56 |  4750171.12 | hot-blow │
│   2 |       6 | 1800.00 |  3642005.91 |  1399313.87 |  5036601.50 | sea-axis │
│   2 |       7 | 1100.00 |  3727617.22 |   656855.67 |  5124748.92 | ten-bank │
│   2 |       8 | 2100.00 |  4068863.73 |  1404219.05 |  4697037.13 | new-epic │
│   2 |       9 | 2000.00 |  4776300.55 |   179647.34 |  4212400.85 | icy-beat │
│   2 |      10 | 1800.00 |  4165201.60 |   853184.42 |  4744766.90 | odd-cyst │
│   2 |      11 | 1500.00 |  3089215.84 |  1007518.11 |  5480081.55 | own-axis │
│   2 |      12 | 1600.00 |  4038925.22 |   616753.05 |  4888388.26 | fat-dirt │
│   2 |      13 | 1300.00 |  3137883.12 |   596195.86 |  5512520.39 | six-fill │
│   2 |      14 | 2000.00 |  3960132.01 |  1018155.11 |  4885729.80 | two-comb │
│   2 |      15 | 1600.00 |  4144099.14 |   669960.54 |  4792414.44 | own-chop │
│   2 |      16 | 2000.00 |  3824498.89 |  1172080.09 |  4958737.49 | raw-coke │
│ ----+---------+---------+-------------+-------------+-------------+--------- │
│   3 |       1 | 1500.00 |  4410958.41 |   713514.00 |  4541363.75 | odd-fine │
│   3 |       2 | 1300.00 |  4299765.90 |  1853546.05 |  4320419.11 | the-fact │
│   3 |       3 | 1900.00 |  3985471.63 |   486043.26 |  4946657.34 | fat-dawn │
│   3 |       4 |  600.00 |  4669514.06 |  1190727.92 |  4167426.84 | sly-foal │
│   3 |       5 | 1900.00 |  3874979.79 |   332003.34 |  5046181.37 | bad-clef │
│   3 |       6 | 1600.00 |  4616563.98 |   433955.07 |  4369057.23 | wee-beet │
│   3 |       7 | 1000.00 |  4446250.49 |   604524.44 |  4522725.70 | one-dirt │
│   3 |       8 | 1700.00 |  3845603.32 |  1395471.42 |  4884018.39 | icy-bias │
│   3 |       9 | 1700.00 |  4918271.64 |   -32190.47 |  4049593.66 | sea-cafe │
│   3 |      10 | 1000.00 |  4269110.60 |  1221452.38 |  4568631.07 | tan-burn │
│   3 |      11 | 2000.00 |  5034046.16 |  -528572.99 |  3868931.49 | cut-cyst │
│   3 |      12 | 1800.00 |  4759979.88 |   -73754.64 |  4234004.35 | few-case │
│   3 |      13 | 1700.00 |  3718215.79 |  1313565.45 |  5003904.29 | wee-boss │
│   3 |      14 | 1080.00 |  4085093.56 |  2000940.11 |  4460705.13 | two-fork │
│   3 |      15 | 1900.00 |  3961278.75 |   471185.24 |  4967483.89 | all-area │
│   3 |      16 |  600.00 |  4876635.39 |  1158780.74 |  3932593.98 | shy-chip │
│ ----+---------+---------+-------------+-------------+-------------+--------- │
│   4 |       1 | 2200.00 |  4597051.62 |  2020600.46 |  3920960.49 | hot-beat │
│   4 |       2 | 2000.00 |  3171884.46 |  1419189.87 |  5339914.80 | all-colt │
│   4 |       3 | 1600.00 |  3887682.95 |   851924.98 |  4974915.69 | fun-babe │
