[18, 12, 17, 1, 13, 5, 6, 25, 16, 9, 27, 21, 11, 26, 10, 19, 8, 2, 4, 22, 0, 23, 3, 28, 20, 24, 7, 14, 15]
[8, 28, 21, 12, 5, 0, 27, 7, 13, 14, 1, 16, 3, 18, 19, 22, 4, 6, 23, 20, 10, 9, 24, 2, 25, 17, 11, 15, 26]
[1, 25, 22, 9, 28, 17, 27, 16, 13, 11, 14, 20, 24, 10, 19, 2, 18, 7, 0, 12, 26, 8, 21, 3, 5, 4, 6, 15, 23]
[28, 20, 15, 10, 6, 2, 9, 7, 17, 5, 12, 8, 4, 22, 24, 23, 1, 26, 3, 19, 16, 27, 14, 18, 25, 21, 11, 13, 0]
[16, 24, 4, 17, 23, 28, 9, 27, 25, 6, 12, 8, 13, 21, 22, 2, 14, 5, 7, 1, 19, 15, 0, 18, 26, 11, 3, 20, 10]
[28, 3, 0, 17, 1, 19, 6, 23, 8, 24, 12, 22, 18, 26, 14, 25, 9, 5, 10, 11, 7, 27, 21, 16, 13, 20, 15, 2, 4]
[20, 23, 8, 19, 28, 24, 26, 1, 18, 11, 10, 27, 14, 3, 4, 17, 0, 9, 5, 21, 22, 6, 15, 16, 2, 12, 25, 7, 13]
[15, 5, 6, 4, 13, 14, 27, 2, 16, 8, 20, 18, 17, 10, 3, 0, 11, 22, 19, 9, 12, 25, 24, 28, 26, 23, 7, 21, 1]
[13, 14, 0, 28, 9, 1, 7, 18, 23, 6, 12, 5, 27, 4, 10, 24, 15, 19, 26, 17, 22, 16, 21, 8, 11, 2, 25, 20, 3]
[16, 8, 23, 17, 20, 9, 5, 18, 15, 3, 21, 26, 25, 4, 1, 10, 24, 27, 7, 12, 0, 11, 2, 14, 22, 6, 28, 13, 19]
[15, 2, 27, 18, 17, 1, 12, 28, 10, 7, 23, 24, 21, 26, 3, 16, 4, 5, 13, 11, 22, 19, 0, 14, 25, 6, 20, 8, 9]
[18, 1, 10, 27, 28, 3, 12, 13, 23, 4, 20, 19, 7, 14, 16, 9, 5, 25, 15, 21, 26, 22, 17, 0, 24, 6, 2, 11, 8]
[19, 14, 0, 3, 6, 18, 25, 8, 22, 20, 10, 17, 27, 13, 5, 12, 24, 4, 2, 23, 16, 9, 11, 7, 21, 26, 28, 15, 1]
[10, 7, 18, 15, 3, 25, 17, 14, 12, 2, 26, 5, 16, 22, 4, 9, 28, 11, 21, 24, 1, 8, 0, 27, 23, 13, 20, 19, 6]
[27, 8, 7, 26, 2, 6, 22, 18, 25, 16, 13, 20, 11, 4, 28, 21, 12, 10, 19, 1, 15, 24, 23, 17, 9, 5, 0, 14, 3]
[20, 16, 14, 25, 13, 4, 27, 23, 5, 2, 9, 0, 19, 28, 18, 11, 22, 15, 12, 1, 17, 7, 6, 10, 24, 21, 26, 3, 8]
[13, 18, 6, 25, 0, 9, 22, 4, 1, 16, 26, 27, 15, 11, 17, 12, 24, 8, 14, 3, 21, 20, 23, 2, 5, 19, 28, 10, 7]
[3, 16, 1, 9, 14, 23, 28, 20, 5, 22, 2, 26, 25, 12, 27, 0, 24, 21, 11, 18, 10, 15, 17, 13, 6, 4, 7, 8, 19]
[7, 26, 3, 25, 2, 8, 28, 9, 0, 12, 22, 11, 17, 1, 20, 4, 13, 10, 16, 21, 6, 24, 27, 5, 18, 23, 15, 14, 19]
[2, 7, 26, 1, 25, 23, 5, 11, 28, 14, 20, 10, 15, 19, 24, 0, 16, 27, 17, 13, 21, 22, 18, 12, 9, 4, 6, 8, 3]
