18,36,185
10,62,40
11,30,140
41,22,30
12,17,78
27,55,154
24,20,46
26,36,108
0,32,20
42,24,16
2,27,41
9,21,2
33,30,16
20,23,16
15,58,130
8,18,86
2,67,82
44,14,16
11,43,126
44,21,104
19,29,60
29,24,189
27,3,152
3,70,147
35,30,70
15,24,20
10,1,133
30,39,105
9,6,39
2,70,86
28,50,112
36,33,88
7,68,154
10,40,24
26,20,125
22,51,69
39,24,27
15,32,3
2,25,75
44,47,1
35,17,53
22,48,83
38,0,174
44,26,3
32,22,163
15,30,142
1,1,1
14,35,112
3,20,113
13,24,69
1,47,142
20,36,2
48,27,13
9,60,141
28,17,155
27,52,26
45,9,125
15,26,48
44,18,153
13,48,92
14,41,121
4,2,7
5,33,195
27,37,173
49,36,14
43,20,157
6,65,152
29,37,60
28,44,65
42,9,18
48,20,18
20,10,23
21,33,128
16,20,117
6,14,92
6,70,95
47,7,175
12,31,65
14,50,91
0,44,99
41,3,51
2,23,193
8,2,147
39,29,150
4,25,190
23,15,16
13,60,177
17,10,117
23,5,105
21,25,150
40,4,142
20,34,141
1,0,14
34,6,90
26,41,142
19,40,19
6,40,123
22,25,156
29,34,144
18,35,82
8,38,154
24,38,0
16,63,151
23,63,35
10,46,5
35,48,3
32,40,53
44,18,163
15,0,4
29,15,194
1,66,78
34,30,200
22,42,87
29,5,22
23,61,125
28,24,15
29,51,178
25,31,105
32,14,103
21,23,168
25,14,52
34,17,35
31,3,151
6,28,153
18,58,96
22,66,77
0,28,21
38,10,167
5,22,157
18,16,18
19,59,200
31,27,196
23,41,96
0,47,63
14,69,36
31,35,18
23,62,33
9,53,18
17,64,51
14,59,28
19,56,41
47,16,104
6,9,154
22,65,191
10,10,139
24,60,64
1,58,111
22,30,81
28,21,163
11,22,146
6,37,43
20,30,164
1,41,60
5,7,152
21,53,24
14,19,81
6,41,162
22,40,163
16,58,117
2,45,78
35,32,184
1,9,183
21,23,64
10,60,92
14,32,194
21,60,54
23,35,15
10,17,138
17,61,10
32,23,41
14,38,86
31,25,124
25,4,166
27,22,91
1,66,121
12,13,134
12,53,39
20,34,37
27,27,104
24,8,22
23,2,60
5,53,78
13,61,167
18,45,10
28,10,23
47,7,15
28,46,117
27,0,149
1,68,114
8,53,80
43,18,84
1,42,191
18,22,83
8,69,44
5,54,194
6,59,77
12,8,128
25,56,126
21,26,83
42,0,83
47,6,69
31,45,191
31,1,197
10,37,83
0,24,5
12,20,28
4,4,44
3,2,19
17,4,115
18,69,114
45,0,35
28,0,125
32,45,73
26,30,143
25,59,189
47,0,31
24,26,184
1,17,156
36,1,133
8,4,169
20,42,86
20,43,124
9,63,122
25,3,120
24,3,70
8,49,120
16,55,62
41,17,63
14,36,156
25,52,172
4,55,182
25,10,73
30,45,199
13,34,150
4,28,118
33,25,56
21,65,147
45,20,156
17,16,178
5,16,149
3,50,110
17,7,151
35,39,159
18,19,70
23,59,142
7,51,175
11,1,129
11,33,66
34,6,17
7,67,178
18,62,172
22,23,85
22,66,156
33,28,80
14,65,87
1,70,49
26,27,133
9,11,115
29,18,180
0,48,198
10,38,15
3,51,188
19,41,38
24,47,85
15,48,163
35,10,106
8,36,100
11,25,116
12,54,113
14,56,62
7,64,35
5,6,21
35,25,14
22,7,133
30,44,74
9,17,119
2,21,157
29,46,110
11,69,200
24,20,39
27,15,149
42,14,138
39,31,197
32,10,172
15,69,81
22,59,5
38,10,196
3,3,141
7,37,133
16,3,58
30,3,195
6,17,26
8,60,19
44,31,8
7,42,44
22,31,185
6,36,113
21,51,91
4,62,6
10,53,49
6,7,130
15,39,97
11,5,17
11,38,59
36,8,2
15,47,51
14,1,83
25,5,93
19,27,84
43,3,72
22,65,183
12,31,73
11,60,128
44,3,153
25,24,13
35,34,110
12,28,200
3,17,46
19,43,46
29,46,47
39,41,0
12,63,198
18,69,13
10,67,182
1,1,97
17,63,85
10,31,200
14,18,121
45,10,34
29,1,81
13,40,35
22,35,25
23,32,115
46,3,144
27,41,23
3,64,27
0,7,137
10,68,81
10,10,70
42,19,174
8,70,127
4,38,58
7,14,101
4,13,199
38,21,90
30,10,135
18,30,175
39,13,59
28,51,117
47,1,30
26,13,4
15,39,175
22,15,96
3,5,136
26,21,123
14,1,90
33,44,198
32,15,133
50,3,190
27,14,136
34,21,136
22,26,188
32,17,113
24,58,106
6,9,124
29,41,200
28,19,65
23,28,177
16,26,81
21,18,83
22,24,7
2,27,41
39,5,77
32,45,178
12,65,192
2,1,189
1,56,196
0,48,27
5,58,68
24,54,178
46,13,77
19,35,75
14,24,7
26,25,180
20,26,78
50,26,26
16,33,165
14,4,159
17,26,147
32,20,10
28,29,6
13,68,37
1,64,73
27,31,159
8,39,86
44,37,12
16,8,93
31,48,101
15,51,131
30,13,146
4,5,187
10,46,117
28,34,82
