228,103,157,115,231,223
69,246,192,100,59,197
122,139,152,53,156,190
202,60,186,149,244,169
244,92,221,140,140,104
53,168,208,197,138,235
210,201,178,51,179,200
244,216,184,181,66,154
244,194,137,72,206,155
249,157,101,136,164,50
218,204,120,59,176,86
179,124,54,164,169,181
249,237,87,125,131,145
69,130,52,150,81,204
82,176,116,130,58,216
178,226,243,221,53,176
95,197,50,137,196,200
218,121,151,59,107,57
81,205,53,65,118,107
62,204,79,64,107,125
191,162,52,143,237,117
139,192,128,100,83,63
138,228,135,192,227,124
155,204,54,137,192,176
198,128,92,111,244,139
84,77,161,94,222,211
154,100,198,188,149,54
147,69,137,57,229,212
120,131,75,190,103,175
143,217,153,192,200,215
